name,count,percent
Linux,273,54.6
CentOS,109,21.8
Cray Linux Environment,46,9.2
SUSE Linux Enterprise Server,20,4
TOSS,10,2
RHEL,20,4
Scientific Linux,4,0.8
Bullx Linux,15,3
Kylin Linux,2,0.4
Sunway RaiseOS,1,0.2
